台灣頻道,#genre#
東森綜合,http://198.16.100.186:8278/ettvzhonghe/playlist.m3u8?tid=MC4C1214674912146749&ct=19254&tsum=9b96a50ba99dca1a02a27b05a6fb4b0d
東森電影,https://smart.pendy.dpdns.org/Smart.php?id=ettvmovie
東森電影,http://198.16.100.186:8278/ettvmovie/playlist.m3u8?tid=MBDB9268852192688521&ct=19254&tsum=7514b50ebc2e4b06f2e402578d0ac996
東森電影,http://50.7.234.10:8278/ettvmovie/playlist.m3u8?tid=MBDB9268852192688521&ct=19254&tsum=7514b50ebc2e4b06f2e402578d0ac996
東森電影,http://live4play.uk/livehttpplay?channel_id=20077
東森洋片,https://smart.pendy.dpdns.org/Smart.php?id=ettvwestern
東森洋片,http://live4play.uk/livehttpplay?channel_id=20080
東森洋片,http://108.181.20.197/livehttpplay?channel_id=20080
東森洋片,http://50.7.234.10:8278/ettvwestern/playlist.m3u8?tid=MC2C7134276471342764&ct=19225&tsum=4889d0c08d077336bd5066b912891aee
東森洋片,http://50.7.234.10:8278/ettvwestern/playlist.m3u8?tid=MB7B8303252483032524&ct=19249&tsum=14f89967cdf6c504230be29a87cc54f0
龍祥時代,https://smart.pendy.dpdns.org/Smart.php?id=lungxiangtime_twn
龍祥時代,http://live4play.uk/livehttpplay?channel_id=20114
龍祥時代,http://108.181.20.197/livehttpplay?channel_id=20114
龍祥時代,http://50.7.234.10:8278/lungxiangtime_twn/playlist.m3u8?tid=MADA6805114368051143&ct=18392&tsum=d6a1f02ca9abd5368d2a365e40247ae8
龍祥時代,http://50.7.234.10:8278/cb7a1fec69/playlist.m3u8?tid=md05ab4002297&ct=18335&tsum=ebe4254ee0e073c2d3c9789e679c00a5
龍華偶像,http://docker.livednow.dpdns.org/li-litv-longturn12/index.m3u8
龍華偶像,http://docker.livednow.dpdns.org/litv-longturn12/index.m3u8
龍華偶像,https://smart.pendy.dpdns.org/Smart.php?id=lunghuaidol_twn
龍華戲劇,http://docker.livednow.dpdns.org/li-litv-longturn18/index.m3u8
龍華戲劇,http://docker.livednow.dpdns.org/litv-longturn18/index.m3u8
龍華戲劇,https://smart.pendy.dpdns.org/Smart.php?id=lunghuaxiju_twn
龍華日韓,http://docker.livednow.dpdns.org/li-litv-longturn11/index.m3u8
龍華日韓,http://docker.livednow.dpdns.org/litv-longturn11/index.m3u8
龍華電影,https://smart.pendy.dpdns.org/Smart.php?id=xingwei_movie
龍華電影,http://docker.livednow.dpdns.org/li-litv-longturn03/index.m3u8
龍華電影,http://docker.livednow.dpdns.org/litv-longturn03/index.m3u8
龍華洋片,http://docker.livednow.dpdns.org/li-litv-longturn02/index.m3u8
龍華洋片,https://smart.pendy.dpdns.org/Smart.php?id=lunghuajingdian_twn
龍華洋片,https://smart.pendy.dpdns.org/Smart.php?id=lunghuawestern_twn
龍華洋片,https://cdn8.163189.xyz/live/lhyp/stream.m3u8
龍華洋片,http://docker.livednow.dpdns.org/litv-longturn02/index.m3u8
龍華卡通,http://docker.livednow.dpdns.org/li-litv-longturn01/index.m3u8
龍華卡通,http://docker.livednow.dpdns.org/litv-longturn01/index.m3u8
龍華經典,http://docker.livednow.dpdns.org/li-litv-longturn21/index.m3u8
龍華經典,http://docker.livednow.dpdns.org/litv-longturn21/index.m3u8
緯來綜合,https://smart.pendy.dpdns.org/Smart.php?id=videolandzonghe
緯來精彩,http://61.221.215.25:8800/hls/48/index.m3u8
緯來戲劇,http://live4play.uk/livehttpplay?channel_id=20200
緯來戲劇,http://108.181.20.197/livehttpplay?channel_id=20200
緯來日本,https://smart.pendy.dpdns.org/Smart.php?id=videolandjapan
緯來日本,http://live4play.uk/livehttpplay?channel_id=20303
緯來日本,http://108.181.20.197/livehttpplay?channel_id=20303
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來日本,rtmp://9hv9.mine.nu/sat/tv771
緯來日本,rtmp://60.248.77.83/sat/tv771
緯來育樂,http://live4play.uk/livehttpplay?channel_id=20202
緯來育樂,http://108.181.20.197/livehttpplay?channel_id=20202
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來育樂,rtmp://9hv9.mine.nu/sat/tv701
緯來育樂,rtmp://60.248.77.83/sat/tv701
緯來育樂,http://122.117.71.103:8561/http/220.130.87.218:8081/hls/68/810/ch030.m3u8
緯來育樂,http://122.117.71.103:8561/http/220.130.87.218:8081/hls/68/810/ch030.m3u8
緯來電影,https://smart.pendy.dpdns.org/Smart.php?id=videolandmovie
緯來電影,http://live4play.uk/livehttpplay?channel_id=20199
緯來電影,http://108.181.20.197/livehttpplay?channel_id=20199
緯來體育,https://smart.pendy.dpdns.org/Smart.php?id=videolandsport
緯來體育,http://live4play.uk/livehttpplay?channel_id=20120
緯來體育,rtmp://f13h.mine.nu/sat/tv721
緯來體育,rtmp://9hv9.mine.nu/sat/tv721
緯來體育,rtmp://60.248.77.83/sat/tv721
八大第一台,https://smart.pendy.dpdns.org/Smart.php?id=badafirst
八大第一台,http://live4play.uk/livehttpplay?channel_id=20073
八大綜合台,https://smart.pendy.dpdns.org/Smart.php?id=badazhonghe
八大綜合台,http://live4play.uk/livehttpplay?channel_id=20068
八大綜合台,http://108.181.20.197/livehttpplay?channel_id=20068
八大戲劇台,https://smart.pendy.dpdns.org/Smart.php?id=badadrama
八大綜藝台,http://docker.livednow.dpdns.org/li-4gtv-4gtv039/index.m3u8
八大綜藝台,http://docker.livednow.dpdns.org/4gtv-4gtv039/index.m3u8
八大精彩台,http://docker.livednow.dpdns.org/li-4gtv-4gtv034/index.m3u8
八大精彩台,http://docker.livednow.dpdns.org/4gtv-4gtv034/index.m3u8
八大精彩台,http://live4play.uk/livehttpplay?channel_id=20052
八大精彩台,http://108.181.20.197/livehttpplay?channel_id=20052
八大娛樂台,http://live4play.uk/livehttpplay?channel_id=20071
